name,province,type,status,effective_date,notes
Alberta Beach,Alberta,Village,Registered,2012-01-01,
Athabasca County,Alberta,Municipal District,Registered,2012-01-01,
Beaver County,Alberta,Municipal District,Registered,2012-01-01,
Birch Hills County,Alberta,Municipal District,Registered,2012-01-01,
Brazeau County,Alberta,Municipal District,Registered,2012-01-01,
Buffalo Lake Metis Settlement,Alberta,Metis Settlement,Registered,2012-01-01,
Camrose County,Alberta,Municipal District,Registered,2012-01-01,
Cardston County,Alberta,Municipal District,Registered,2012-01-01,
City of Airdrie,Alberta,City,Registered,2012-01-01,
City of Brooks,Alberta,City,Registered,2012-01-01,
City of Calgary,Alberta,City,Registered,2012-01-01,
City of Camrose,Alberta,City,Registered,2012-01-01,
City of Cold Lake,Alberta,City,Registered,2012-01-01,
City of Edmonton,Alberta,City,Registered,2012-01-01,
City of Fort Saskatchewan,Alberta,City,Registered,2012-01-01,
City of Grande Prairie,Alberta,City,Registered,2012-01-01,
City of Lacombe,Alberta,City,Registered,2012-01-01,
City of Leduc,Alberta,City,Registered,2012-01-01,
City of Lethbridge,Alberta,City,Registered,2012-01-01,
City of Lloydminster,Alberta,City,Registered,2012-01-01,
City of Medicine Hat,Alberta,City,Registered,2012-01-01,
City of Red Deer,Alberta,City,Registered,2012-01-01,
City of Spruce Grove,Alberta,City,Registered,2012-01-01,
City of St. Albert,Alberta,City,Registered,2012-01-01,
City of Wetaskiwin,Alberta,City,Registered,2012-01-01,
Clear Hills County,Alberta,Municipal District,Registered,2012-01-01,
Clearwater County,Alberta,Municipal District,Registered,2012-01-01,
County of Barrhead No. 11,Alberta,Municipal District,Registered,2012-01-01,
County of Forty Mile No. 8,Alberta,Municipal District,Registered,2012-01-01,
County of Grande Prairie No. 1,Alberta,Municipal District,Registered,2012-01-01,
County of Lethbridge,Alberta,Municipal District,Registered,2012-01-01,
County of Minburn No. 27,Alberta,Municipal District,Registered,2012-01-01,
County of Newell No. 4,Alberta,Municipal District,Registered,2012-01-01,
County of Northern Lights,Alberta,Municipal District,Registered,2012-01-01,
County of Paintearth No. 18,Alberta,Municipal District,Registered,2012-01-01,
County of St. Paul No. 19,Alberta,Municipal District,Registered,2012-01-01,
County of Stettler No. 6,Alberta,Municipal District,Registered,2012-01-01,
County of Thorhild No. 7,Alberta,Municipal District,Registered,2012-01-01,
County of Two Hills No. 21,Alberta,Municipal District,Registered,2012-01-01,
County of Vermilion River,Alberta,Municipal District,Registered,2012-01-01,
County of Warner No. 5,Alberta,Municipal District,Registered,2012-01-01,
County of Wetaskiwin No. 10,Alberta,Municipal District,Registered,2012-01-01,
Cypress County,Alberta,Municipal District,Registered,2012-01-01,
East Prairie Metis Settlement,Alberta,Metis Settlement,Registered,2012-01-01,
Elizabeth Metis Settlement,Alberta,Metis Settlement,Registered,2012-01-01,
Fishing Lake Metis Settlement,Alberta,Metis Settlement,Registered,2012-01-01,
Flagstaff County,Alberta,Municipal District,Registered,2012-01-01,
Gift Lake Metis Settlement,Alberta,Metis Settlement,Registered,2012-01-01,
Improvement District No. 12 (Jasper National Park),Alberta,Improvement District,Registered,2012-01-01,
Improvement District No. 13 (Elk Island),Alberta,Improvement District,Registered,2012-01-01,
Improvement District No. 24 (Wood Buffalo),Alberta,Improvement District,Registered,2012-01-01,
Improvement District No. 25 (Wilmore Wilderness),Alberta,Improvement District,Registered,2012-01-01,
Improvement District No. 4 (Waterton),Alberta,Improvement District,Registered,2012-01-01,
Improvement District No. 9 (Banff),Alberta,Improvement District,Registered,2012-01-01,
Kananaskis Improvement District,Alberta,Improvement District,Registered,2012-01-01,
Kikino Metis Settlement,Alberta,Metis Settlement,Registered,2012-01-01,
Kneehill County,Alberta,Municipal District,Registered,2012-01-01,
Lac La Biche County,Alberta,Municipal District,Registered,2012-01-01,
Lac Ste. Anne County,Alberta,Municipal District,Registered,2012-01-01,
Lacombe County,Alberta,Municipal District,Registered,2012-01-01,
Lamont County,Alberta,Municipal District,Registered,2012-01-01,
Leduc County,Alberta,Municipal District,Registered,2012-01-01,
Mackenzie County,Alberta,Specialized Municipality,Registered,2012-01-01,
Mountain View County,Alberta,Municipal District,Registered,2012-01-01,
Municipal District of Acadia No. 34,Alberta,Municipal District,Registered,2012-01-01,
Municipal District of Big Lakes,Alberta,Municipal District,Registered,2012-01-01,
Municipal District of Bighorn No. 8,Alberta,Municipal District,Registered,2012-01-01,
Municipal District of Bonnyville No. 87,Alberta,Municipal District,Registered,2012-01-01,
Municipal District of Fairview No. 136,Alberta,Municipal District,Registered,2012-01-01,
Municipal District of Foothills No. 31,Alberta,Municipal District,Registered,2012-01-01,
Municipal District of Greenview No. 16,Alberta,Municipal District,Registered,2012-01-01,
Municipal District of Lesser Slave River No. 124,Alberta,Municipal District,Registered,2012-01-01,
Municipal District of Opportunity No. 17,Alberta,Municipal District,Registered,2012-01-01,
Municipal District of Peace No. 135,Alberta,Municipal District,Registered,2012-01-01,
Municipal District of Pincher Creek No. 9,Alberta,Municipal District,Registered,2012-01-01,
Municipal District of Provost No. 52,Alberta,Municipal District,Registered,2012-01-01,
Municipal District of Ranchland No. 66,Alberta,Municipal District,Registered,2012-01-01,
Municipal District of Smoky River No. 130,Alberta,Municipal District,Registered,2012-01-01,
Municipal District of Spirit River No. 133,Alberta,Municipal District,Registered,2012-01-01,
